Date,Impressions,Clicks,CTR,Pins
6/14/15,2509746,2753,0.11%,106
6/15/15,10512547,7823,0.07%,196
6/16/15,10509195,6979,0.07%,157
6/17/15,9227474,5346,0.06%,108
6/18/15,2035639,1127,0.06%,23
6/19/15,100593,96,0.10%,1
6/20/15,32834,34,0.10%,2
6/21/15,18841,29,0.15%,0
6/22/15,29241,21,0.07%,0
6/23/15,18252,33,0.18%,0
6/24/15,12073,22,0.18%,0
6/25/15,8783,16,0.18%,0
6/26/15,4173654,2931,0.07%,70
6/27/15,4718969,3508,0.07%,87
6/28/15,981852,820,0.08%,13
6/29/15,126462,119,0.09%,1
6/30/15,36011,38,0.11%,0
7/1/15,5093804,3993,0.08%,77
7/2/15,8716976,5298,0.06%,127
7/3/15,3330130,2105,0.06%,61
7/4/15,236811,168,0.07%,2
7/5/15,42974,38,0.09%,0
7/6/15,99656,70,0.07%,3
7/7/15,13779,7,0.05%,0
